Produit,CodeBarre,Quantité,vegetarian_info,Pays_de_ventes,Caractéristiques
Oreo Original - 15,7622300336738,154g,Végétarien,"Autriche, Belgique, Brésil, France, Allemagne, Italie, Mexique, Espagne, Suisse, États-Unis",Biscuit cacaotés fourrés goût vanille (29%)
Napolitain - L'original - LU - 180 g (6 x 30 ,7622201809638,180 g (6 x 30 g),Non végétarien,France,Gâteau fourrage au chocolat
Le Beurre Tendre barquette doux - Elle & Vire - 250,3451790988677,250 g,Non végétarien,"Canada, France, Suisse, États-Unis",Barquette beurre doux
Snickers - Mars - 50,5000159461122,50 g,Non végétarien,"Algérie, Belgique, Bulgarie, Chypre, Danemark, France, Allemagne, Hongrie, Luxembourg, Mexique, Maroc, Pays-Bas, Pologne, Portugal, Roumanie, Arabie saoudite, Serbie, Singapour, Espagne, Suède, Suisse, Royaume-Uni, États-Unis","Chocolat au lait fourré de confiserie et de caramel, avec des cacahuètes grillées"
Tomato Ketchup BIO - Heinz - 580,8715700407760,580 g,NON,"Belgique, France, Allemagne, Espagne, Suisse, Royaume-Uni, États-Unis",
NESQUIK Cacao - Nestlé - 1 ,3033710065967,1 kg,NON,"Algérie, Belgique, France, Guyane, Polynésie française, Allemagne, Guadeloupe, Italie, Luxembourg, Martinique, Nouvelle-Calédonie, La Réunion, Espagne, Suisse",Préparation en poudre instantanée pour boisson cacaotée
Barilla pates spaghetti n°5 500g - 500,8076800195057,500 g,Végétarien,"Australie, Autriche, Belgique, France, Allemagne, Grèce, Irlande, Italie, Liechtenstein, Luxembourg, Mexique, Roumanie, Russie, Serbie, Espagne, Suisse, Thaïlande, Royaume-Uni, États-Unis",Pâtes alimentaires de qualite superieure
Waldnuss Natur - Alesto - 20,,200g,Végétarien,"Autriche, Belgique, Bulgarie, Danemark, France, Allemagne, Italie, Pays-Bas, Pologne, Portugal, Espagne",Cerneaux de noix
Pâte à tartiner Nutella noisettes et cacao - 630g - 630,59032823,630 g,NON,"France, Allemagne, Pays-Bas, Portugal, Roumanie, Suède, Suisse",Pâte à tartiner aux noisettes
Tomato Ketchup - Heinz - 500,8715700017006,500ml,NON,"France, Allemagne, Espagne, Suisse",
Pain De Mie Bio - La Boulangère Bio - 500,3760049790214,500 g,NON,"France, Suisse",Pain de mie Bio à la farine complète
Mélange de fruits secs - Alesto - 5,20047238,59g,Végétarien,"Belgique, République tchèque, France, Allemagne, Pologne, Espagne, Suède, Suisse, Royaume-Uni",Mélange de fruits secs
Original Taste - Coca-Cola - 500,54491472,500ml,NON,"Autriche, Belgique, Bulgarie, Croatie, France, Allemagne, Hongrie, Maroc, Pologne, Roumanie, Serbie, Espagne, Suisse, Royaume-Uni",Coca-Cola
PAIN DE MIE SANS CROÛTE - Harrys - 500,3228857000852,500 g,NON,"Belgique, France, Luxembourg, Martinique, La Réunion, Suisse","HARRYS PAIN DE MIE 100% MIE NATURE SANS CROUTE 500G,100% MIE NATURE PT 500 G,PAIN DE MIE SANS CROÛTE"
Brioche tressée nature ss additifs - Harrys - 500,3228857001231,500 g,Non végétarien,France,Brioche tressée au sucre perlé
Céréales Corn Flakes Original - Kellogg's - 500,3159470000120,500 g,Végétarien,"Belgique, France, Allemagne, Italie, Luxembourg, Martinique, Mexique, La Réunion, Espagne, Suisse, Royaume-Uni",Pétales de maïs dorés au four enrichis en vitamines et en fer.
Véritable Petit Écolier Chocolat au Lait - LU - 150 g (12x 12.5 g),7622210421968,150 g (12x 12.5 g) e,Non végétarien,"Algérie, Belgique, France, Suisse",Petit beurre avec tablette de chocolat au lait - Véritable Petit Écolier Chocolat au Lait
Figolu - LU - 19,7622201133337,192g,NON,"France, Guadeloupe",Biscuits sablés fourrés (50 %) aux figues (26 %).
St hubert bio doux 230g ss hdp - 230,3366321052386,230 g,NON,France,Matière grasse allégée à tartiner et à cuire issue de l'agriculture biologique (56% de MG).
Amora Mayonnaise De Dijon Flacon Souple 415g - 415,8711200548002,415 g,NON,"Belgique, France, Suisse",Mayonnaise à la moutarde de Dijon.
L'Original - Cacao en poudre non sucré - Van houten - 250,4006985902304,250 g,Végétarien,"Belgique, France, Allemagne, Pologne, La Réunion, Suisse",cacao en poudre
NESTLE NESQUIK Céréales 450g - 450,7613035144699,450 g,NON,"France, Guadeloupe, La Réunion, Sénégal, Espagne, Suisse","Céréales aromatisées prêtes à consommer enrichies en 7 vitamines, calcium et fer"
Granola - L'original - chocolat au lait - LU - 200 g,7622210601988,200 g e,Non végétarien,"France, La Réunion, en:Argelia, en:Belgica, en:Estados-unidos, en:Francia, en:Martinica, en:Suiza",Biscuits sablés nappés de chocolat au lait
Tomato ketchup - Heinz - 250,87157215,250 g,NON,"Belgique, France, Allemagne, Luxembourg, Espagne, Suisse, Royaume-Uni",Ketchup
Céréales - Weetabix®™ - 645,5010029220773,645 g,Végétarien,"Belgique, France, Italie, La Réunion, Espagne, Suisse, Royaume-Uni, Bi1-Auchan FR 77480 Mousseaux-les-Bray",Céréales de blé complet avec vitamines & Fer
Tropical - Oasis - 2,3124480191182,2 L,NON,"France, en:Belgique, en:La Réunion, en:Suisse",
skyr - Danone - 140,3033491270864,140 g,Non végétarien,"France, Suisse","Spécialité laitière nature, inspirée d'Islande, 0% MG"
Muesli avoine chocolat bio - Bjorg - 375,3229820769165,375 g,Non végétarien,"Belgique, France, Espagne, Suisse",Muesli
Alpro Almond молоко - 1,5411188110835,1 L,Végétarien,"Autriche, Belgique, France, Allemagne, Guadeloupe, Hongrie, Irlande, Italie, Luxembourg, Maroc, La Réunion, Roumanie, Espagne, Suisse, Royaume-Uni",Lait d'amande
Zarte Haferflocken - Crownfield - 50,,500g,NON,"Belgique, France, Allemagne, Italie, Espagne",Flocons d'avoine complets
Hipro Myrtille - Danone - 160,3033491482953,160 g,Non végétarien,France,"Spécialité laitière à la myrtille, aromatisée, avec édulcorants, enrichie en vitamine D, 0% MG"
