Produit,CodeBarre,Quantité,vegetarian_info,Pays_de_ventes,Caractéristiques
Oasis tropical - 33 ,3124480186560,33 cl,NON,"Belgique, France, en:Belgique, en:Suisse",
Fraise Intense - Bonne Maman - 335,3608580823445,335 g,Végétarien,"France, en:Côte d'Ivoire  France  en:switzerland",Confiture extra de fraises allégée en sucres
Ketchup - Heinz - 500,8715700423869,500ml,Végétarien,"Belgique, France, Allemagne, Luxembourg, Suisse",Tomato Ketchup avec sucre et édulcorant
Barilla sauce tomates arrabbiata 400g - 400,8076809513388,400 g,Végétarien,"Australie, Autriche, Belgique, Bulgarie, Danemark, Finlande, France, Allemagne, Italie, Norvège, Espagne, Suède, Suisse",Sauce tomate au piment
"Biscuit au germe de blé pépites de chocolat - Sondey - 200 g, 4 pochons de 5 biscui",4056489369134,"200 g, 4 pochons de 5 biscuits",NON,France,
Miel de fleurs - Maribel - 500,20072803,500 g,NON,"Finlande, France, Suède",Miel de Fleurs Liquide blond doré
Tomato Ketchup - Heinz - 500,87157239,500ml,NON,"Algérie, Belgique, Danemark, France, Allemagne, Nouvelle-Calédonie, Norvège, La Réunion, Espagne, Suède, Suisse, Royaume-Uni",Sauce Ketchup
"Quadro pocket - Cémoi - 187 g, 9 gaufrett",3173289101090,"187 g, 9 gaufrettes",Non végétarien,France,Gaufrettes fourrage (83%) au praliné
Pain AMS complet - Harrys - 900,3228857000180,900 g,NON,"France, Suisse",Pain de mie a la farine complète
Powerade goût ice storm - Coca-Cola - 500 ,54492653,500 ml,NON,"Biélorussie, France, Hongrie, Russie, Espagne, Suisse, Royaume-Uni","boisson hydratante diététique de l'effort isotonique aromatisée, avec sucres et édulcorants"
87,8712,NON,NON,"France, Lituanie, Roumanie, Serbie",
Galettes de Maïs - Sondey - 130,4334035071848,130 g,Végétarien,"France, Portugal, Espagne",
Lion caramel et chocolat - Nestlé - 400,3387390019995,400 g,Non végétarien,"Belgique, France","Céréales prêtes à consommer, avec de la pâte de caramel (6,3%), aromatisées et sources de 7 vitamines, calcium et fer"
Pesto basilico e rucola 190g eu cross - Barilla - 190,8076809545396,190 g,Non végétarien,"Australie, France, Allemagne, Italie, Liechtenstein, Suisse","Sauce pesto avec basilic, persil et roquette"
Muesli croustillant - Crownfield - 500,4056489296805,500 g,Non végétarien,"Belgique, France, Allemagne",
"Palmito L'original - Lu - 100 g, 2 sache",3017760030106,"100 g, 2 sachets",NON,"Belgique, France, Guadeloupe, Luxembourg, Nouvelle-Calédonie, La Réunion",Biscuits feuilletés
Courgettes cuisinées à la provençale - Cassegrain - 375,3083681094459,375 g,NON,France,
Grand Arôme moins de sucre - Poulain - 400,3664346315371,400 g,NON,France,
Le Supérieur -25% de Sel - Conservation sans Nitrite - Fleury Michon - 140,3302740047404,140 g,Non végétarien,France,
Pâte à tartiner Chocolat Noisette - Jardin Bio - 750,3760020500658,750 g,Végétarien,"France, Polynésie française, Suisse",Pâte à tartiner au chocolat et aux noisettes bio
Pim's framboise - Lu - 150,5410041040807,150 g,Non végétarien,"Belgique, France, Maroc, Espagne, Suisse",Tendre génoise recouverte d'un nappage à la framboise et d'une coque de chocolat fin
Fusilli - Barilla - 500,8076802085981,500 g,Végétarien,"Australie, Autriche, Belgique, Bulgarie, Croatie, République tchèque, France, Allemagne, Italie, Luxembourg, Portugal, Singapour, Suisse",Pâtes alimentaires de qualité supérieure
Protein Cacahuetes & Chocolat - Nature Valley - 160 g (4x40 ,8410076610737,160 g (4x40 g),Non végétarien,"Belgique, France",Barre protéinée aux cacahuètes et au chocolat
Shot de gingembre bio - Solevita - 150,4056489028109,150ml,Végétarien,"Belgique, France, Allemagne, Hongrie, Espagne, Suisse",
Smacks - Kellogg's - 400,5053827101424,400 g,Végétarien,"Belgique, France, Allemagne, Grèce, Pays-Bas, Portugal, Espagne, Suisse, Royaume-Uni",Grains de blé soufflés caramélisés enrichis en vitamines et en fer
"MOUSLINE Purée Nature, 4 sachets pour 4 personnes (4x130g) - Maggi - 520",7613034897930,520 g,Végétarien,"France, Polynésie française, Nouvelle-Calédonie",Purée de pomme de terre en flocons
pains au lait x8 - Brioche Pasquier - 280,3256540002890,280 g,Non végétarien,France,pains au lait
Mayonnaise 5 ingrédients - Amora - 400,8710522920725,400 g,Non végétarien,France,Mayonnaise.
Bio Chocolat Noir Equateur 85% cacao - J. D. GROSS - 100,20713713,100 g,NON,France,Chocolat noir issu de l'agriculture biologique
Baguettes viennoises - La Boulangère - 340,3760049790818,340 g,Non végétarien,France,4 Baguettes Viennoises déjà fendues
Chocolat noir 85% Madagascar - Ethiquable - 100,3760091722508,100 g,NON,"France, Espagne",Chocolat noir. 85% cacao
PiM's Orange - Lu - 150,5410041005707,150 g,Non végétarien,"Belgique, France, Espagne, Suisse","Génoise recouverte d'une marmelade-gelée d'orange, avec arôme naturel d'orange et d'une coque de chocolat"
Chamallows - Haribo - 300,3103220046159,300 g,Non végétarien,France,
Tartare 100 pourcent végétal - 14,3272770015516,140g,Végétarien,France,Spécialité végétale à tartiner ail et fines herbes
"Lentilles préparées - Cassegrain - 400 g (265 g net égoutté), 425 ",3083680613576,"400 g (265 g net égoutté), 425 ml",Non végétarien,France,Plat préparé en conserve
Flocons d'avoine - Carrefour - 500,3560070614202,500 g,Végétarien,"Belgique, France, Italie, Pologne, Espagne, Francia, Grecia, Guadalupe, Marruecos","Flocons d'avoine complets laminés, riche en fibres."
Fanta orange - 330 ,5449000011527,330 ml,NON,"Bénin, France, Sénégal, Espagne",Boisson rafraîchissante au jus d'orange
Eau minerale - Sidi Ali - 33 ,6111035000430,33 cl,NON,"France, Maroc, en:Maroc",
Biscuits Nutella B-ready x6 gaufrettes fourrées - 13,8000500227848,132g,Non végétarien,"Belgique, France, Allemagne, Italie, Luxembourg, Martinique, Maurice, Maroc, Nouvelle-Calédonie, La Réunion, Espagne, Suisse, Thaïlande, Royaume-Uni",Spécialité croustillante fourrée à la pâte à tartiner aux noisettes et au cacao NUTELLA et aux éclats croustillants
Nouille instantanées goût poulet - YumYum - 6,8852018101024,60g,Non végétarien,"République tchèque, Danemark, France, Allemagne",Instant noodles chicken flavour
Biscuits Nutella x12 biscuits fourrés - 166g - 166,8000500310397,166 g,Non végétarien,"France, Italie",Biscuit fourré à la pâte à tartiner aux noisettes et au cacao Nutella®
"Lentilles cuisinées, riz & soja - Céréal Bio - 25",3175681170872,250g,Végétarien,"Belgique, France",Plat cuisiné à base de céréales
Monster Energy Drink - 500 ,5060335632302,500 ml,NON,"France, Espagne, en:Bélgica, en:Francia, en:Guadalupe","Boisson énergisante gazeuse enrichie en vitamines B2, B3, B6 et B12 avec sucres et édulcorant, contient de la taurine, de la L-carnitine et du ginseng"
Coca-Cola Zero - ,5449000131843,2l,NON,"Bulgarie, Croatie, France, Hongrie, Roumanie, Espagne",
Muesli bio noix & graines - Jordans - 450,5010477357335,450 g,Végétarien,"France, Suisse","Mélange de céréales complètes biologiques et d'orge avec des graines, des raisins secs et des noix."
Amora Ketchup Flacon Souple tête en bas 550g - 550,8712100751370,550 g,NON,"France, La Réunion",Tomato Ketchup.
Tresor - Kellogs - 41,5053827199568,410g,Non végétarien,"France, Allemagne","Céréales fourrées au goût chocolat noisettes, enrichies en vitamines et en fer."
Cookies pepites chocolat - Bonne Maman - 25,3178530407396,250g,Non végétarien,"Belgique, France, Luxembourg, Suisse",Cookies pépites de chocolat
Biscuits Nutella B-ready x15 gaufrettes fourrées - 330g - Ferrero - 330,8000500223369,330 g,Non végétarien,France,Spécialité croustillante fourrée à la pâte à tartiner aux noisettes et au cacao Nutella® et aux éclats croustillants (2%)
NESTLE NESQUIK BIO Céréales 375g - 375,7613036668910,375 g,NON,"Belgique, France, Maroc, La Réunion, Espagne, Suisse",Céréales prêtes à consommer biologiques
Boisson avoine - Vemondo - ,4056489041320,1l,Végétarien,"France, Allemagne, Hongrie, Roumanie",
Tartine & Cuisson 100% végétal - Primevère - 50,3155251205319,500g,NON,France,
Pain Extra Moelleux Nature Sans Sucres Ajoutés - Harrys - 280,3228857000876,280 g,NON,France,
"Brioches 8 pépites chocolat - Brioche Pasquier - 300 g e (8 * 37,5 ",3256540000643,"300 g e (8 * 37,5 g)",Non végétarien,"Canada, France, Suisse",Pitch - 8 Brioches Pépites Chocolat
Oreo Original - OreoMondelez - 220,7622300744663,220 g,NON,"Canada, France, Italie, Portugal, Espagne, en:Allemagne, en:Belgique, en:Espagne, en:Mexique, en:Suisse","Biscuits cacaotés, fourrés goût vanille"
Diet Nature Digestive sin azúcares - Gullón - 400,8410376023831,400 g,Végétarien,"Andorre, France, Maroc, Portugal, Sénégal, Espagne, en:Francia",Galleta integral de trigo sin azúcares con edulcorantes
Espelta crackers - Bachman - 240,8710482532303,240 g,NON,"Andorre, France, Portugal, Espagne",Crackers integrales de espelta
CereAlé Noisette - Kinder CereAlé - 204,8000500329481,204 g,Non végétarien,France,Biscuits aux 7 variétés de céréales et noisettes
Biscuit fondant choco noir (sans sucres ajoutés) - Gerblé - 126,3175681039599,126 g,Non végétarien,France,Biscuit au chocolat avec édulcorant
Natur avec Avoine - Alpro - 500,5411188124269,500 g,Végétarien,"Belgique, France, Allemagne, Luxembourg, Pays-Bas, Espagne","Produit fermenté à base de soja avec avoine, calcium et vitamines ajoutés"
Fried Onions - MCENNEDY - 15,20173074,150g,Végétarien,"Autriche, France, Allemagne, Pays-Bas, Pologne, Espagne, Suisse",Oignons frits
Alesto Nuss-Frucht-Mix - 200,20815394,200 g,NON,"France, Allemagne, Hongrie, Italie, Pays-Bas, Suisse",
Le cookie Chocolat noisettes - Bjorg - 200,3229820004334,200 g,Non végétarien,"France, Luxembourg, États-Unis",Cookies au chocolat et à la noisette - Le Cookie Chocolat Noisette Bio
Tofu nature - Bjorg - 40,3229820762692,400g,Végétarien,"France, Allemagne, en:Suisse","Tofu, substitut de viande"
Chocolat Bio noir 85% - Côte d'Or - 90,7622210869616,90 g,NON,"Belgique, France, La Réunion",
"Tomato ketchup - Heinz - 400 ml, 460",8715700421353,"400 ml, 460 g",NON,"Belgique, France, Italie, Suisse",
Pâte à tarte feuilletée - Pur beurre - Marie - 230,3248830000150,230 g,Non végétarien,"France, Suisse",
Excellence 100% cacao noir infini - Lindt - 5,3046920016377,50g,NON,"Autriche, France, Allemagne, Italie, Espagne",
Oreo o's - Mondelez - 350,5010029227062,350 g,Végétarien,"France, Espagne",
STARBUCKS Signature chocolat 42% 330g - 330,7613287598936,330 g,NON,France,Préparation à base de chocolat en poudre
"Eau de source gazéifiée - Cristaline - 1,5",3254380008430,"1,5 L",Végétarien,"Belgique, France",Eau de source avec adjonction de gaz carbonique Source Vermont
Banania Original - 400,3700278400881,400 g,Non végétarien,"France, Allemagne",Poudre chocolatée
Bounty - Mars - 57,40111216,57 g,Non végétarien,"Belgique, République tchèque, Danemark, France, Allemagne, Hongrie, Monténégro, Maroc, La Réunion, Roumanie, Arabie saoudite, Serbie, Slovaquie, Suède, Suisse, Tunisie, Royaume-Uni",Chocolat au lait fourré de noix de coco blanche et tendre
Boisson énergisante - Red Bull - 250,9002490100070,250ml,NON,"Autriche, France, Allemagne, Italie, Roumanie, Espagne",Boisson énergisante
1664 - Kronenbourg - 250 ,3080216052885,250 ml,Végétarien,France,Bière premium
RICORE chicorée café - Nestlé - 200,7613035272903,200 g,Végétarien,France,Café chicorée solubles et fibre de chicorée
"GARDEN GOURMET Le Gourmand Soja, Poivre et Persil 160g - Herta - 160",7613035982055,160 g,Non végétarien,France,"Spécialité végétarienne à base de protéines de soja réhydratées, protéines de blé réhydratées et blanc d'œuf"
GARDEN GOURMET Nuggets Soja et Blé 200g - 200,7613036021265,200 g,Végétarien,France,Spécialité végane à base de protéines de soja réhydratées
Nocciolata - Rigoni di Asiago - 270,8001505002799,270 g,Non végétarien,"Belgique, France",Pâte à tartiner aux noisettes
Saint-Agur - 125,3341504005540,125 g,Non végétarien,France,
Biscuits Nutella B-ready x10 gaufrettes fourrés - 220g - Ferre,8000500217078,220g,Non végétarien,"Autriche, Belgique, France, Allemagne, Italie, Suisse",Spécialité croustillante fourrée à la pâte à tartiner aux noisettes et au cacao NUTELLA et aux éclats croustillants
Fruit d'Or Oméga 3 Doux - Sans huile de palme - 22,8719200031524,225g,Végétarien,France,margarine allégée enrichie en vitamine D
Milka Noisette Entières - 10,3045140118502,100g,Non végétarien,"République tchèque, France, Allemagne, en:Algérie, en:Allemagne, en:Autriche, en:Suisse",Chocolat au lait avec noisettes entières
L'escalope Cordon Bleu Authentique - Le Gaulois - 200 g (2 x 100 ,3266980033613,200 g (2 x 100 g),Non végétarien,"Belgique, France, Luxembourg, Suisse","Viande de filet de poulet traitée en salaison et reconstituée, fourrée au jambon de dinde fumé et au cantal fondu, panée et cuite."
Yaourt à la grecque - envia - 600,20665241,600 g,Non végétarien,France,
Salakis - 200,3023260030928,200 g,NON,"Belgique, France, Japon, Suisse",
Roquefort Société Cave Saveur - 150 g,3023260030980,150 g e,Non végétarien,"France, Luxembourg",ROQUEFORT AOP au lait cru de brebis
Etui Bec Verseur Cassonade Saint Louis 1kg - 1000,3220035210008,1000 g,Végétarien,"France, Suisse",Sucre roux de canne
Goûter aux écorces  confites - Gerblé - 360,3251491787803,360 g,Non végétarien,France,
m&m's Peanut - 45,40111445,45 g,Non végétarien,"Belgique, France, Allemagne, Italie, Martinique, Maroc, Portugal, La Réunion, Espagne",Erdnüsse (24%) in Milchschokolade (48%) mit Zuckerüberzug
STARBUCKS Signature chocolat 70% 300g - 300,7613287598967,300 g,NON,France,Préparation à base de chocolat en poudre
BRIDELIGHT LE BON MOELLEUX ALLEGE 5%MG 350g - 350,3155250321799,350 g,Non végétarien,France,Fromage au lait pasteurisé.
Pizza Végétale - Dr. Oetker - 385,4001724819905,385 g,Non végétarien,"Autriche, Belgique, Chypre, Danemark, Finlande, France, Allemagne, Grèce, Irlande, Luxembourg, Pays-Bas, Norvège, Portugal, Espagne, Suède, Suisse, Royaume-Uni","Pizza reich belegt mit Tomaten, Paprika, Peperoni und Zwiebeln auf knusprigen dünnen Boden, tiefgefroren"
Petit écolier chocolat noir - Lu - 150,5410041010800,150 g,Non végétarien,"France, La Réunion, Espagne, Suisse",Petit beurre avec tablette de chocolat fin - Petit Écolier Chocolat Fin
Kinder Schoko-Bons sachet de 20,5413548283128,200g,Non végétarien,"Autriche, Belgique, France, Allemagne, Espagne",KINDER SCHOKOBONS : Bonbons de chocolat supérieur au lait fourrés lait et noisettes
FuzeTea Thé glacé pêche intense - FUZE TEA - 330 ,5449000232311,330 ml,NON,France,Boisson rafraîchissante aux extraits de thé saveur pêche avec sucre et édulcorant
Kinder délice - 39,8000500267103,390g,Non végétarien,"France, Italie, en:Deutschland",Petit gâteau enrobé au cacao et fourré au lait
Lasagne aux œufs LC - Barilla - 500,8076800376999,500 g,Non végétarien,"Belgique, Canada, Croatie, France, Allemagne, Grèce, Hongrie, Italie, Luxembourg, Monténégro, Roumanie, Serbie, Slovénie, Espagne, Suisse, Royaume-Uni, Uruguay",Pâtes alimentaires aux oeufs
Krisprolls - Pagen - 24,7311070032581,240g,Végétarien,France,Krisprolls complets
Mon Taboulé Oriental - Pierre Martinet - 310,3281780893915,310 g,Végétarien,France,
Brioche tranchée nature ss additif - Harrys - 680,3228857001323,680 g,Non végétarien,France,Brioche tranchée recette classique
Tartines craquantes quinoa - pois chiche - Jardin B,6153153,NON,Végétarien,France,
Pistache - Alesto - 250,,250 g,Végétarien,"Belgique, République tchèque, France, Allemagne, Maroc, Portugal, Espagne",Pistaches de Californie grillées à sec et salées
Passierte Tomaten - Freshona - 50,20163402,500g,NON,"Bulgarie, France, Allemagne, Suisse",
La faisselle - Rians - 1 ,3184670001080,1 kg,Non végétarien,France,Fromage frais nature en faisselle
Suédois - Duo de saumon - Sodebo - 135,3242272890751,135 g,Non végétarien,France,"Sandwich au pain de mie suédois (polaire) garni de saumon cuit , de saumon fumé et de beurre"
Beanz In a rich tomato sauce - Heinz - 415,5000157024671,415 g,Végétarien,"France, Portugal, Russie, Espagne, Suède, Royaume-Uni",Haricots blancs à la sauce de tomate
S.PELLEGRINO - pétillante bruisend - 50 ,8002270116544,50 cl,Végétarien,"Belgique, France",EAU MINERALE NATURELLE AVEC ADJONCTION DE GAZ CARBONIQUE
Pain 100% mie nature sans sucre ajouté - Harrys - 500,3228857001118,500 g,NON,"Belgique, France",
Brioche tranchée aux pépites de chocolat - Harrys - 485,3228857001347,485 g,Non végétarien,France,
La Laitière yaourt vanille de Madagascar - La LaitièreNestlé - 500 g (4 x 125 ,3023290234853,500 g (4 x 125 g),Non végétarien,France,"Yaourt sucré, à l'arôme naturel de vanille."
MAGGI Bouillon BIO Légumes 80g - 80 g (8 x 10 ,8585002484093,80 g (8 x 10 g),NON,France,"Bouillon déshydraté aux légumes, aromatisé"
Chocolat Noir Dessert - Fin Carré - 200,20022471,200 g,Végétarien,"Croatie, République tchèque, France, Espagne",Chocolat de couverture
Chocolat au lait du Pays Alpin - Milka - 200,3045140105106,200 g,Non végétarien,France,Chocolat au lait
Galettes de maïs - Carrefour Bio - 115,3560070689897,115 g,Végétarien,"Belgique, France",Galettes de Maïs Bio
Tartines craquantes Sarrasin - JARDIN BIO ETIC - 150,3760020508012,150 g,Végétarien,"Belgique, France, Suisse",Spécialité céréalière au sarrasin et riz bio
Original - Pringles - 16,5053990127726,165g,Végétarien,"France, Allemagne, Italie, Pays-Bas, Nigeria, Espagne, en:Belgio, en:Danimarca, en:Francia, en:Germania, en:Paesi Bassi, en:Spagna",Snack salé
Veg crisps - Tyrrell's - 150 g,5060042640515,150 g e,Végétarien,"France, Allemagne, Hongrie, Suisse",Chips : hand cooked English crisps
MAGGI KUB OR L'Original - 128g - 128,7613036891530,128 g,NON,France,Bouillon déshydraté en cubes
Sucre Cassonade - Daddy - 750,3165433724019,750 g,NON,France,Ppk cassonade pure canne kraft daddy 750g
American Sandwich Nature - Harrys - 825,3228857000845,825 g,NON,France,pain de mie
Poudre Poulain 1848 - 450,3664346306027,450 g,NON,"Canada, France, Polynésie française",Cacao fortement dégraissé sucré.
Weetabix Original - 430,5010029000061,430 g,NON,"France, Portugal, Espagne, Royaume-Uni",
Lait de coco sans sucres - Alpro - ,5411188128311,1l,Végétarien,"Belgique, Croatie, France, Allemagne, Hongrie, Italie, Roumanie, Espagne, Suisse, Royaume-Uni",
Amora Sauce Crudités Nature - Aroma - 380 ,8711200459926,380 ml,Non végétarien,France,Sauce crudités nature.
Saint Moret bio - ST MÔRET - 150,3272770014168,150 g,Non végétarien,"Belgique, France",
Crêpes bretonnes St Michel - 315 g,3178530405774,315 g e,Non végétarien,"France, Espagne",Crêpes
Galette de mais - Bjorg - 13,3229820794648,130g,NON,France,Galette de maïs
La Crème entière fluide UHT en brique de Normandie - Elle & Vire - 200,3451790988042,200ml,Non végétarien,"France, Allemagne",Crème UHT entière
Mousse au chocolat noir intense - Bonne Maman - 200g (4x50,3608580765653,200g (4x50g),Non végétarien,France,Mousse au chocolat
Фанта портокал 500мл - Fanta - 0.,40822938,0.5l,NON,"Belgique, Bulgarie, France, Allemagne, Hongrie, Italie, Nigeria, Roumanie",Boisson rafraichissante au jus d'orange
Coca cola - 150,54491014,150ml,NON,"Belgique, Croatie, France, Allemagne, Suisse, Royaume-Uni",Boisson rafraichissante aux extraits végétaux
Sonnenmais - Freshona - 34,20153229,340g,Végétarien,"Autriche, République tchèque, France, Allemagne, Pologne, Portugal, Espagne","Maïs doux, sous vide. Stérilisé"
"Sirop de menthe verte, zéro sucre - Teisseire - 60 ",3092718610258,60 cl,NON,France,"Boisson concentrée avec extraits de menthe à diluer, avec édulcorants"
Moelleux chocolat noix - Gerblé - 13,3175681135895,138g,Non végétarien,"France, La Réunion",Moelleux aux noix  et au chocolat source d'oméga 3.
PRESIDENT BUCHE FONDANTE CHEVRE 180g - 0.18 ,3228021170053,0.18 kg,Non végétarien,France,Bûche fondante 180g
Gaufres caramel bio - Bjorg - 175,3229820788098,175 g,Non végétarien,"France, Pays-Bas",Gauffres fourrées au caramel
Le Beurre Tendre barquette demi-sel - Elle & Vire - 250,3451790988813,250 g,Non végétarien,"Belgique, France, Suisse",Barquette beurre demi-sel
Kinder Chocolat - Ferrero - 50,80177609,50 g,Non végétarien,"Algérie, Australie, France, Allemagne, Hong Kong, Hongrie, Italie, Lituanie, Maroc, Portugal, Roumanie, Espagne, Suisse",
Céréales trésor - chocolat au lait - Kellogg's - 41,5053827199667,410g,Non végétarien,"France, Allemagne","Céréales fourrées au chocolat au lait, enrichies en vitamines et en fer."
GARDEN GOURMET Sensational Pavé Cru Nature Soja 226g - Herta - 226,7613037397956,226 g,Végétarien,"France, Espagne",Spécialité végane crue à base de protéines de soja réhydratées
CARTE D'OR Glace Crème Glacée Vanille de Madagascar 900ml - 472,8711327385603,472 g,Non végétarien,"Canada, France",Crème glacée vanille à l'extrait de vanille de Madagascar.
Indian tonic - Schweppes - 33 ,3124480186850,33 cl,Végétarien,"Belgique, France",
Ketchup - Hela - 800,4027400168105,800ml,Végétarien,"France, Allemagne",
Weetabix produit à base de blé complet 100% - 430,5010029000023,430 g,Végétarien,"Belgique, France, Hong Kong, Japon, Luxembourg, Pays-Bas, Espagne, Taiwan, États-Unis",
Bebida de soja sin azúcar - Alpro - ,5411188115496,1l,Végétarien,"Belgique, France, Allemagne, Italie, Luxembourg, Norvège, Espagne",Boisson au soja avec calcium et vitamines ajoutés
Cereal mix 0% azúcares añadidos - Hacendado - 375,8480000095329,375 g,NON,"France, Roumanie, Espagne",
Pringles Hot & spicy - 175,5053990155941,175 g,Non végétarien,France,Snack salé au goût piment et épice
Biscuits fourrés chocolat noir - Bjorg - 300,3229820800325,300 g,Non végétarien,France,
Banane bio - Carrefour - 5 pièc,3523680438224,5 pièces,Végétarien,France,Bananes issues du commerce équitable certifié Fairtrade
Crunchy peanut butter - McEnnedy - 45,4056489424918,454g,Végétarien,"France, Allemagne, Italie",
"Granola l'original - LUMondelez - 225 g, 6 sachets de 3 biscui",3017760635295,"225 g, 6 sachets de 3 biscuits",Non végétarien,France,Biscuits sablés nappés de chocolat au lait - Granola Chocolat au Lait
"RICORE au Lait, Café & Chicorée, Boîte 400g - Nestlé - 400",3033710071005,400 g,Non végétarien,"France, La Réunion, Suisse","Préparation instantanée pour café au lait, à la chicorée et aux fibres de chicorée"
Brossard - mini brownie choco pepites - 240 g 8 × 30 g,3498425591253,240 g 8 × 30 g =,Non végétarien,"France, Suisse",Gâteaux au chocolat et aux pépites de chocolat
Céréales Miel Pops - Kellogg's - 620,5053827110983,620 g,Non végétarien,"Belgique, France, Suisse","Maïs soufflé au miel, enrichi en vitamines et en fer."
Pépito  Chocolat au lait - Lu - 192,7622210717801,192 g,Non végétarien,"France, Suisse",Biscuits nappés au chocolat au lait
Cake & Choc - Milka - 175,7622300784751,175 g,Non végétarien,"Belgique, Estonie, France, Allemagne, Maroc, Espagne",gâteau moelleux aux morceaux de chocolat et au lait du pays alpin fourré au chocolat
Amora Ketchup Flacon Souple tête en bas 280g - 280,8722700113348,280 g,NON,"France, Suisse",Tomato Ketchup.
Mikado chocolat noir - LU - 90,3017760686693,90 g,Non végétarien,"Belgique, France, Suisse",Biscuits nappés de chocolat noir
Mousse au chocolat - végétal - Andros Gourmand & Végétal - 220,3608580942764,220 g,Végétarien,France,Mousse au lait de coco et au chocolat
Skyr Myrtille - Yoplait - 4 x 100,3329770073289,4 x 100 g,Non végétarien,France,
Beurre de cacahuètes - Whole Earth - 340,5013665115571,340 g,Végétarien,France,
Captain Rondo Cacao - Sondey - 500,20081232,500 g,Non végétarien,"France, Allemagne",Biscuits fourrés avec une préparation goût chocolat
Pain de seigle complet Epeautre et épeautre vert - Maître Jean Pierre - 50,20507350,500g,Végétarien,"France, Allemagne, Espagne",
Cacahuètes grillées sans sel ajouté - Alesto - 200,20615420,200 g,Végétarien,"France, Espagne","Cacahuètes grillées, sans sel ajouté"
Panzani coquillette 500g - 500 g + 1/2 paqu,3038350013002,500 g + 1/2 paquet,NON,France,Pâtes alimentaires de qualité supérieure
"Sirop parfum grenadine, zéro sucres - Teisseire - 60 ",3092718610227,60 cl,NON,"Belgique, France, Suisse",Sirops
Pancakes au lait frais - Le Ster - 280,3255290253033,280 g,Non végétarien,France,Pancakes au lait frais
Coca Cola Classic - 1p,5449000017888,1pcs,NON,"France, Allemagne, en:Deutschland",Koffeinhaltiges Erfrischungsgetränk mit Pflanzenextrakten
"Sweet & salty nut chocolat noir et mélange de noix - Nature valley - 150 g ℮, 5 barres de 30",8410076610621,"150 g ℮, 5 barres de 30 g",Non végétarien,France,"Barre à la cacahuète, aux amandes et à l'avoine avec des pépites de chocolat noir (10%), enrobage saveur cacao."
YOP Parfum Vanille - Yoplait - 825,3329770063297,825 g,Non végétarien,France,Yaourt à boire sucré aromatisé
28 bâtonnets de surimi - Nautica - 500,20466909,500 g,Non végétarien,France,
NESCAFÉ SPECIAL FILTRE L'Original Flacon de 100g - 100,3033710074518,100 g,NON,"France, Polynésie française, Suisse",100% café instantané
Cracotte - Lu - 200,3041090061639,200 g,Non végétarien,France,bâtonnets de céréales fourrés à la framboise enrichis en fer
Crème légère semi épaisse 18% - Bridelice - 3 x 20 ,3155251205388,3 x 20 cl,Non végétarien,"France, Suisse",crème légère
Snack poppé T&H - Too GoodFrance - 85 g,3245550078681,85 g ℮,Non végétarien,France,Snack végétarien poppe à base de soja et pomme de terre saveur tomates et herbes
Flocons d'avoine complets - Terres & Céréales BIO - 500,3421557910203,500 g,Végétarien,"France, La Réunion",Flocons d'avoine complète
Chocolat noir 98 % Équateur - Éthiquable - 100 g,3760091725301,100 g e,NON,France,Chocolat noir
Sirop Doré de Betterave Sucrière - Grafschafter - 450,4000412010266,450 g,Végétarien,"Autriche, France, Allemagne",Zuckerrübensirup
Röstzwiebeln - Kühne - 10,4012200032947,100g,Végétarien,"Canada, France, Allemagne, Suisse",Oignons frits
Super Smoothie Antioxydant - Innocent - 750 ,5038862234115,750 ml,NON,France,smoothie
Chocolat Noir Corsé - Nestlé Dessert - 200,7613035898646,200 g,NON,"France, Martinique, La Réunion",Chocolat noir supérieur
Maille Mayonnaise Fine Qualité Traiteur Bocal 32,8718114734484,320g,NON,"France, Allemagne",Mayonnaise.
Noix du Bresil - Alesto - 12,20202392,125g,NON,"Autriche, France, Allemagne, Espagne",Noix du Brésil décortiquées
Grimbergen Blonde - 250,3080216049632,250ml,Végétarien,"France, Allemagne, Suisse",Bière blonde/ Bière d'Abbaye
Couscous Oriental légumes cuisinés et poulet émincé - Weight Watchers - 300,3248832940522,300 g,Non végétarien,France,"Couscous oriental, légumes cuisinés et poulet émincé"
"NESCAFÉ Cappuccino, Café soluble, Boîte de 280g - 280",7613032568436,280 g,Non végétarien,"France, Martinique, La Réunion, Suisse",Préparation instantanée pour boisson au café
Salade & Compagnie - Antibes - sodebo - 32,3242274002053,320g,Non végétarien,France,"salade composée (Riz, oeuf, salade, crudités, thon, olives et sauce à l'huile d'olive et au vinaigre balsamique)"
Pan de molde natural 100% - Bimbo - 460,8412600009345,460 g,Végétarien,"France, Mexique, Espagne",
Planta Fin doux - 500,8719200204621,500 g,Non végétarien,France,
Filet de Saumon Purée de Brocolis - Fleury Michon - 300,3302740483103,300 g,Non végétarien,France,
Bananes - la banane française - variab,3347761000670,variable,Végétarien,"France, Allemagne, États-Unis",
Fanta orange - 33 ,5449000214805,33 cl,NON,France,
Ovomaltine crunchy - 360 g,7612100018477,360 g ℮,NON,"Belgique, France, Suisse",
Tortellini ricotta & epinards - Rana - 250,8001665714372,250 g,Non végétarien,France,
Studentenfutter classic - Alesto - 200,,200 g,Végétarien,"France, Allemagne, Pologne, Espagne",Nusskern- und Sultaninenmischung
